AFS PO Number,AFS Line,Plant,Division,Line,Product Group,Vendor Name,Material,PO_Create_Date,NDC_Date,Planned_Ship_Date,Actual_Ship_Date,Transit_Mode,Transit_Time_Days,Expected_Arrival_Date,Reason_Code,Units,Late
PO000151,6,2001,2,Outlet,HBG,Delta Footwear,MAT00099,2025-05-13,2025-08-29,2025-07-11,2025-07-15,Sea,48,2025-09-01,Transport_Disruption,661,Yes
PO000152,5,3001,1,Outlet,ACC,Falcon Garments,MAT00084,2025-05-25,2025-08-02,2025-06-20,2025-06-22,Air,4,2025-06-26,Factory_Delay,132,No
PO000153,6,1003,2,Mainline,APP,Crimson Stitch Co,MAT00084,2025-05-07,2025-08-22,2025-07-11,2025-07-17,Truck,14,2025-07-31,Material_Delay,983,No
PO000154,5,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00064,2025-06-02,2025-08-22,2025-07-11,2025-07-17,Sea,43,2025-08-29,Internal_Delay,383,Yes
PO000155,6,1001,1,Outlet,SHO,Alpha Apparel Ltd,MAT00105,2025-05-22,2025-07-31,2025-06-18,2025-06-25,Truck,9,2025-07-04,Factory_Delay,828,No
PO000156,6,1002,1,Mainline,APP,BlueOcean Textiles,MAT00101,2025-05-03,2025-07-15,2025-05-26,2025-05-31,Sea,43,2025-07-13,Transport_Disruption,1397,No
PO000157,3,1001,1,Outlet,RTW,Alpha Apparel Ltd,MAT00087,2025-05-12,2025-08-03,2025-06-22,2025-06-29,Air,7,2025-07-06,Material_Delay,554,No
PO000158,5,1003,1,Mainline,APP,Crimson Stitch Co,MAT00004,2025-05-22,2025-09-04,2025-07-18,2025-07-22,Air,5,2025-07-27,Transport_Disruption,396,No
PO000159,7,1001,1,Mainline,HBG,Alpha Apparel Ltd,MAT00082,2025-05-17,2025-08-15,2025-07-01,2025-07-06,Air,8,2025-07-14,Factory_Delay,802,No
PO000160,3,3001,1,Mainline,HBG,Falcon Garments,MAT00013,2025-05-08,2025-07-19,2025-06-02,2025-06-06,Sea,39,2025-07-15,Factory_Delay,753,No
PO000161,6,1002,1,Outlet,HBG,BlueOcean Textiles,MAT00088,2025-05-17,2025-09-11,2025-07-27,2025-08-12,Sea,45,2025-09-26,Material_Delay,956,Yes
PO000162,5,3001,1,Mainline,ACC,Falcon Garments,MAT00076,2025-05-08,2025-08-17,2025-07-02,2025-07-10,Sea,35,2025-08-14,Factory_Delay,1374,No
PO000163,2,2001,2,Mainline,ACC,Delta Footwear,MAT00046,2025-05-23,2025-07-21,2025-06-07,2025-06-13,Sea,35,2025-07-18,Factory_Delay,688,No
PO000164,4,1002,1,Mainline,APP,BlueOcean Textiles,MAT00097,2025-05-12,2025-06-25,2025-05-14,2025-05-31,Sea,43,2025-07-13,Uncontrollable,251,Yes
PO000165,2,1003,1,Mainline,SHO,Crimson Stitch Co,MAT00051,2025-05-09,2025-07-16,2025-05-29,2025-06-04,Sea,35,2025-07-09,Transport_Disruption,317,No
PO000166,3,1003,1,Mainline,SHO,Crimson Stitch Co,MAT00101,2025-05-21,2025-08-20,2025-07-01,2025-07-05,Sea,42,2025-08-16,Factory_Delay,1367,No
PO000167,4,2002,1,Mainline,ACC,EverGreen Fabrics,MAT00045,2025-05-09,2025-07-30,2025-06-15,2025-06-23,Truck,15,2025-07-08,Internal_Delay,1136,No
PO000168,7,1003,1,Mainline,HBG,Crimson Stitch Co,MAT00100,2025-06-02,2025-07-25,2025-06-11,2025-06-19,Sea,41,2025-07-30,Material_Delay,1269,Yes
PO000169,5,1001,1,Mainline,RTW,Alpha Apparel Ltd,MAT00074,2025-05-18,2025-07-21,2025-06-11,2025-06-23,Sea,50,2025-08-12,Material_Delay,374,Yes
PO000170,2,2001,1,Mainline,APP,Delta Footwear,MAT00109,2025-05-05,2025-07-03,2025-05-21,2025-06-15,Sea,47,2025-08-01,Uncontrollable,1228,Yes
PO000171,6,3001,2,Mainline,ACC,Falcon Garments,MAT00050,2025-05-06,2025-08-02,2025-06-17,2025-06-24,Truck,10,2025-07-04,Factory_Delay,835,No
PO000172,4,1001,2,Mainline,APP,Alpha Apparel Ltd,MAT00017,2025-06-01,2025-07-22,2025-06-05,2025-06-19,Sea,47,2025-08-05,Uncontrollable,723,Yes
PO000173,5,3001,1,Outlet,ACC,Falcon Garments,MAT00042,2025-06-03,2025-08-03,2025-06-16,2025-07-04,Sea,45,2025-08-18,Factory_Delay,408,Yes
PO000174,4,1003,1,Mainline,RTW,Crimson Stitch Co,MAT00099,2025-05-13,2025-06-22,2025-05-06,2025-05-16,Air,7,2025-05-23,Material_Delay,153,No
PO000175,6,1001,2,Mainline,RTW,Alpha Apparel Ltd,MAT00008,2025-05-28,2025-07-01,2025-05-12,2025-05-24,Sea,49,2025-07-12,Transport_Disruption,1213,Yes
PO000176,6,2002,2,Mainline,RTW,EverGreen Fabrics,MAT00081,2025-05-20,2025-07-29,2025-06-18,2025-07-15,Sea,37,2025-08-21,Uncontrollable,715,Yes
PO000177,4,2001,2,Mainline,SHO,Delta Footwear,MAT00100,2025-05-11,2025-07-12,2025-05-30,2025-06-13,Sea,35,2025-07-18,Material_Delay,1023,Yes
PO000178,3,1002,1,Mainline,APP,BlueOcean Textiles,MAT00007,2025-05-09,2025-08-18,2025-07-02,2025-07-10,Sea,35,2025-08-14,Factory_Delay,889,No
PO000179,3,3001,1,Mainline,RTW,Falcon Garments,MAT00031,2025-05-16,2025-07-06,2025-05-22,2025-05-24,Sea,50,2025-07-13,Transport_Disruption,1277,Yes
PO000180,2,1001,1,Mainline,HBG,Alpha Apparel Ltd,MAT00094,2025-05-19,2025-06-25,2025-05-15,2025-05-20,Sea,41,2025-06-30,Internal_Delay,628,Yes
PO000181,1,2001,2,Outlet,RTW,Delta Footwear,MAT00013,2025-05-08,2025-06-11,2025-04-30,2025-05-05,Sea,43,2025-06-17,Internal_Delay,851,Yes
PO000182,6,3001,1,Mainline,ACC,Falcon Garments,MAT00099,2025-05-08,2025-06-09,2025-04-21,2025-05-04,Sea,40,2025-06-13,Factory_Delay,1139,Yes
PO000183,1,1002,2,Outlet,APP,BlueOcean Textiles,MAT00066,2025-05-02,2025-08-29,2025-07-17,2025-07-21,Truck,14,2025-08-04,Factory_Delay,1100,No
PO000184,6,2002,1,Outlet,HBG,EverGreen Fabrics,MAT00105,2025-05-30,2025-08-20,2025-07-05,2025-07-08,Sea,43,2025-08-20,Factory_Delay,775,No
PO000185,7,1001,2,Outlet,SHO,Alpha Apparel Ltd,MAT00010,2025-05-08,2025-07-30,2025-06-13,2025-06-13,Sea,39,2025-07-22,Transport_Disruption,457,No
PO000186,7,3001,1,Mainline,ACC,Falcon Garments,MAT00087,2025-05-08,2025-08-27,2025-07-14,2025-07-31,Truck,14,2025-08-14,Factory_Delay,403,No
PO000187,7,1003,1,Mainline,HBG,Crimson Stitch Co,MAT00095,2025-05-29,2025-07-23,2025-06-04,2025-06-10,Truck,15,2025-06-25,Factory_Delay,439,No
PO000188,5,2001,2,Mainline,ACC,Delta Footwear,MAT00065,2025-05-19,2025-06-26,2025-05-17,2025-05-21,Sea,36,2025-06-26,Internal_Delay,960,No
PO000189,3,2002,1,Mainline,APP,EverGreen Fabrics,MAT00051,2025-05-17,2025-08-12,2025-06-29,2025-07-18,Truck,13,2025-07-31,Material_Delay,284,No
PO000190,5,2002,2,Outlet,HBG,EverGreen Fabrics,MAT00068,2025-05-25,2025-09-04,2025-07-20,2025-07-22,Sea,39,2025-08-30,Material_Delay,859,No
PO000191,1,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00099,2025-05-18,2025-09-02,2025-07-16,2025-08-02,Truck,15,2025-08-17,Material_Delay,378,No
PO000192,6,1003,2,Mainline,APP,Crimson Stitch Co,MAT00109,2025-05-23,2025-08-05,2025-06-17,2025-06-25,Air,7,2025-07-02,Material_Delay,323,No
PO000193,3,2001,2,Mainline,APP,Delta Footwear,MAT00104,2025-05-01,2025-06-20,2025-05-11,2025-05-11,Truck,11,2025-05-22,Material_Delay,1175,No
PO000194,2,3001,2,Outlet,ACC,Falcon Garments,MAT00025,2025-05-03,2025-06-18,2025-05-04,2025-05-12,Truck,15,2025-05-27,Factory_Delay,789,No
PO000195,2,2001,1,Outlet,APP,Delta Footwear,MAT00016,2025-05-17,2025-08-12,2025-07-03,2025-07-08,Sea,39,2025-08-16,Transport_Disruption,1207,Yes
PO000196,7,2002,1,Outlet,APP,EverGreen Fabrics,MAT00057,2025-05-12,2025-06-26,2025-05-17,2025-05-20,Sea,38,2025-06-27,Transport_Disruption,672,Yes
PO000197,3,1001,1,Outlet,HBG,Alpha Apparel Ltd,MAT00072,2025-05-22,2025-08-18,2025-07-02,2025-07-06,Sea,47,2025-08-22,Internal_Delay,1152,Yes
PO000198,4,2001,1,Outlet,HBG,Delta Footwear,MAT00005,2025-06-01,2025-09-22,2025-08-04,2025-08-10,Sea,40,2025-09-19,Transport_Disruption,282,No
PO000199,1,1003,2,Mainline,HBG,Crimson Stitch Co,MAT00026,2025-05-25,2025-07-03,2025-05-24,2025-05-31,Sea,49,2025-07-19,Transport_Disruption,912,Yes
PO000200,4,1003,1,Mainline,APP,Crimson Stitch Co,MAT00102,2025-05-24,2025-08-15,2025-07-04,2025-07-06,Truck,8,2025-07-14,Internal_Delay,843,No
PO000201,1,1002,1,Mainline,ACC,BlueOcean Textiles,MAT00054,2025-06-02,2025-08-20,2025-07-06,2025-07-16,Sea,39,2025-08-24,Material_Delay,1463,Yes
PO000202,6,3001,2,Mainline,SHO,Falcon Garments,MAT00046,2025-05-13,2025-06-14,2025-04-30,2025-04-30,Sea,45,2025-06-14,Material_Delay,669,No
PO000203,1,1001,2,Outlet,ACC,Alpha Apparel Ltd,MAT00095,2025-05-28,2025-09-04,2025-07-24,2025-07-24,Sea,37,2025-08-30,Factory_Delay,360,No
PO000204,6,3001,1,Mainline,APP,Falcon Garments,MAT00029,2025-06-03,2025-07-19,2025-06-09,2025-06-21,Air,5,2025-06-26,Material_Delay,1320,No
PO000205,5,1002,1,Outlet,HBG,BlueOcean Textiles,MAT00043,2025-05-17,2025-08-13,2025-06-27,2025-07-02,Sea,44,2025-08-15,Transport_Disruption,1229,Yes
PO000206,2,1003,1,Outlet,SHO,Crimson Stitch Co,MAT00055,2025-05-08,2025-07-24,2025-06-14,2025-06-29,Sea,47,2025-08-15,Factory_Delay,1246,Yes
PO000207,2,2001,1,Mainline,ACC,Delta Footwear,MAT00034,2025-05-01,2025-07-01,2025-05-20,2025-05-20,Truck,9,2025-05-29,Internal_Delay,1432,No
PO000208,3,1002,1,Outlet,APP,BlueOcean Textiles,MAT00093,2025-05-20,2025-08-10,2025-07-01,2025-07-01,Truck,7,2025-07-08,Material_Delay,1131,No
PO000209,2,2002,2,Mainline,ACC,EverGreen Fabrics,MAT00075,2025-05-05,2025-08-07,2025-06-18,2025-06-20,Sea,50,2025-08-09,Factory_Delay,700,Yes
PO000210,3,2002,1,Outlet,ACC,EverGreen Fabrics,MAT00109,2025-05-07,2025-07-22,2025-06-08,2025-06-27,Truck,11,2025-07-08,Uncontrollable,511,No
PO000211,4,1002,2,Mainline,RTW,BlueOcean Textiles,MAT00093,2025-05-08,2025-07-17,2025-05-30,2025-06-05,Sea,44,2025-07-19,Transport_Disruption,320,Yes
PO000212,3,2002,1,Mainline,ACC,EverGreen Fabrics,MAT00040,2025-06-03,2025-07-26,2025-06-13,2025-06-17,Sea,43,2025-07-30,Transport_Disruption,482,Yes
PO000213,7,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00095,2025-05-06,2025-07-31,2025-06-20,2025-07-02,Sea,38,2025-08-09,Factory_Delay,893,Yes
PO000214,6,1003,1,Outlet,RTW,Crimson Stitch Co,MAT00013,2025-05-23,2025-08-18,2025-06-30,2025-07-03,Truck,9,2025-07-12,Internal_Delay,255,No
PO000215,1,3001,1,Outlet,APP,Falcon Garments,MAT00039,2025-05-16,2025-07-06,2025-05-21,2025-05-28,Sea,44,2025-07-11,Material_Delay,1275,Yes
PO000216,3,1002,2,Mainline,ACC,BlueOcean Textiles,MAT00096,2025-05-10,2025-09-02,2025-07-22,2025-07-25,Air,4,2025-07-29,Material_Delay,966,No
PO000217,5,3001,2,Outlet,ACC,Falcon Garments,MAT00036,2025-05-17,2025-09-11,2025-07-24,2025-07-28,Air,5,2025-08-02,Transport_Disruption,216,No
PO000218,5,3001,1,Mainline,HBG,Falcon Garments,MAT00093,2025-05-09,2025-06-20,2025-05-06,2025-05-26,Air,6,2025-06-01,Material_Delay,1410,No
PO000219,7,1001,2,Mainline,HBG,Alpha Apparel Ltd,MAT00081,2025-05-03,2025-08-30,2025-07-14,2025-07-15,Sea,38,2025-08-22,Internal_Delay,1492,No
PO000220,6,1002,1,Outlet,APP,BlueOcean Textiles,MAT00088,2025-05-29,2025-09-18,2025-08-04,2025-08-22,Air,6,2025-08-28,Material_Delay,242,No
PO000221,5,1003,1,Mainline,ACC,Crimson Stitch Co,MAT00019,2025-05-12,2025-08-29,2025-07-20,2025-07-25,Sea,36,2025-08-30,Internal_Delay,1449,Yes
PO000222,6,1003,1,Mainline,ACC,Crimson Stitch Co,MAT00016,2025-05-19,2025-08-07,2025-06-19,2025-07-02,Sea,35,2025-08-06,Factory_Delay,162,No
PO000223,4,3001,1,Mainline,APP,Falcon Garments,MAT00017,2025-05-06,2025-06-09,2025-04-28,2025-04-28,Sea,36,2025-06-03,Internal_Delay,68,No
PO000224,6,2002,1,Mainline,APP,EverGreen Fabrics,MAT00033,2025-05-13,2025-09-03,2025-07-20,2025-07-28,Sea,41,2025-09-07,Transport_Disruption,1476,Yes
PO000225,6,2002,1,Mainline,SHO,EverGreen Fabrics,MAT00063,2025-05-10,2025-08-04,2025-06-22,2025-06-23,Air,8,2025-07-01,Factory_Delay,1485,No
PO000226,6,1001,2,Outlet,HBG,Alpha Apparel Ltd,MAT00049,2025-05-27,2025-08-13,2025-06-30,2025-07-08,Sea,43,2025-08-20,Factory_Delay,257,Yes
PO000227,2,2001,1,Mainline,SHO,Delta Footwear,MAT00043,2025-05-27,2025-07-24,2025-06-09,2025-06-25,Sea,37,2025-08-01,Factory_Delay,416,Yes
PO000228,2,3001,1,Outlet,ACC,Falcon Garments,MAT00010,2025-05-09,2025-07-25,2025-06-10,2025-06-16,Sea,46,2025-08-01,Material_Delay,307,Yes
PO000229,5,2001,2,Mainline,SHO,Delta Footwear,MAT00053,2025-05-15,2025-08-11,2025-06-27,2025-06-27,Sea,35,2025-08-01,Uncontrollable,930,No
PO000230,5,2001,2,Mainline,ACC,Delta Footwear,MAT00001,2025-05-10,2025-07-14,2025-06-02,2025-06-10,Sea,50,2025-07-30,Internal_Delay,311,Yes
PO000231,6,1001,1,Outlet,SHO,Alpha Apparel Ltd,MAT00035,2025-05-21,2025-07-14,2025-05-28,2025-06-17,Sea,44,2025-07-31,Material_Delay,261,Yes
PO000232,5,1001,2,Mainline,APP,Alpha Apparel Ltd,MAT00047,2025-06-02,2025-09-08,2025-07-30,2025-08-13,Sea,47,2025-09-29,Factory_Delay,995,Yes
PO000233,3,3001,1,Mainline,SHO,Falcon Garments,MAT00094,2025-05-10,2025-08-29,2025-07-15,2025-07-15,Truck,9,2025-07-24,Material_Delay,919,No
PO000234,1,1003,1,Mainline,SHO,Crimson Stitch Co,MAT00081,2025-05-09,2025-06-13,2025-05-04,2025-05-13,Sea,46,2025-06-28,Material_Delay,914,Yes
PO000235,6,2002,1,Outlet,RTW,EverGreen Fabrics,MAT00002,2025-05-15,2025-07-01,2025-05-13,2025-05-25,Sea,40,2025-07-04,Material_Delay,305,Yes
PO000236,7,2002,1,Mainline,APP,EverGreen Fabrics,MAT00079,2025-05-01,2025-07-24,2025-06-06,2025-06-24,Sea,35,2025-07-29,Material_Delay,1111,Yes
PO000237,5,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00071,2025-05-03,2025-07-18,2025-06-01,2025-06-10,Sea,43,2025-07-23,Material_Delay,326,Yes
PO000238,5,1002,2,Outlet,RTW,BlueOcean Textiles,MAT00036,2025-05-16,2025-09-07,2025-07-27,2025-08-07,Truck,13,2025-08-20,Factory_Delay,711,No
PO000239,1,3001,2,Outlet,APP,Falcon Garments,MAT00087,2025-05-16,2025-08-20,2025-07-09,2025-07-15,Sea,50,2025-09-03,Factory_Delay,1445,Yes
PO000240,7,2002,1,Mainline,SHO,EverGreen Fabrics,MAT00101,2025-05-06,2025-06-22,2025-05-08,2025-05-08,Sea,48,2025-06-25,Material_Delay,284,Yes
PO000241,2,1003,1,Mainline,APP,Crimson Stitch Co,MAT00036,2025-06-03,2025-09-13,2025-08-03,2025-08-03,Sea,46,2025-09-18,Transport_Disruption,412,Yes
PO000242,5,1001,1,Mainline,ACC,Alpha Apparel Ltd,MAT00067,2025-05-10,2025-07-18,2025-06-07,2025-06-12,Sea,37,2025-07-19,Factory_Delay,190,Yes
PO000243,6,1001,1,Mainline,RTW,Alpha Apparel Ltd,MAT00048,2025-05-29,2025-08-05,2025-06-23,2025-06-27,Truck,13,2025-07-10,Transport_Disruption,1387,No
PO000244,1,2002,2,Mainline,ACC,EverGreen Fabrics,MAT00025,2025-05-03,2025-08-19,2025-07-04,2025-07-05,Truck,15,2025-07-20,Factory_Delay,717,No
PO000245,1,1001,1,Outlet,HBG,Alpha Apparel Ltd,MAT00108,2025-05-07,2025-08-22,2025-07-05,2025-07-07,Sea,48,2025-08-24,Internal_Delay,591,Yes
PO000246,1,1002,2,Mainline,APP,BlueOcean Textiles,MAT00057,2025-05-15,2025-08-09,2025-06-20,2025-06-20,Sea,47,2025-08-06,Factory_Delay,384,No
PO000247,4,2002,1,Mainline,ACC,EverGreen Fabrics,MAT00003,2025-05-14,2025-08-15,2025-07-03,2025-07-07,Truck,8,2025-07-15,Factory_Delay,1135,No
PO000248,1,1001,1,Outlet,RTW,Alpha Apparel Ltd,MAT00079,2025-05-25,2025-07-29,2025-06-16,2025-06-16,Sea,50,2025-08-05,Material_Delay,856,Yes
PO000249,2,2001,1,Mainline,APP,Delta Footwear,MAT00029,2025-05-07,2025-06-14,2025-04-30,2025-05-06,Sea,50,2025-06-25,Transport_Disruption,907,Yes
PO000250,4,1002,1,Mainline,SHO,BlueOcean Textiles,MAT00076,2025-05-13,2025-06-22,2025-05-08,2025-05-19,Sea,43,2025-07-01,Material_Delay,1113,Yes
PO000251,5,1003,2,Outlet,SHO,Crimson Stitch Co,MAT00044,2025-05-11,2025-08-27,2025-07-08,2025-07-13,Sea,48,2025-08-30,Transport_Disruption,785,Yes
PO000252,1,3001,1,Mainline,ACC,Falcon Garments,MAT00094,2025-05-01,2025-07-14,2025-05-29,2025-05-30,Sea,38,2025-07-07,Transport_Disruption,952,No
PO000253,6,1002,1,Outlet,APP,BlueOcean Textiles,MAT00096,2025-05-23,2025-08-30,2025-07-18,2025-07-21,Sea,35,2025-08-25,Factory_Delay,624,No
PO000254,6,3001,1,Outlet,RTW,Falcon Garments,MAT00060,2025-05-06,2025-09-01,2025-07-20,2025-08-04,Sea,49,2025-09-22,Factory_Delay,504,Yes
PO000255,5,3001,1,Outlet,HBG,Falcon Garments,MAT00054,2025-05-27,2025-07-15,2025-06-05,2025-06-23,Sea,45,2025-08-07,Uncontrollable,400,Yes
PO000256,7,2002,1,Outlet,ACC,EverGreen Fabrics,MAT00059,2025-05-21,2025-08-12,2025-07-03,2025-07-16,Sea,39,2025-08-24,Factory_Delay,852,Yes
PO000257,6,3001,1,Outlet,HBG,Falcon Garments,MAT00096,2025-06-01,2025-08-24,2025-07-15,2025-07-22,Sea,37,2025-08-28,Factory_Delay,586,Yes
PO000258,4,2002,1,Outlet,SHO,EverGreen Fabrics,MAT00074,2025-05-25,2025-07-13,2025-05-26,2025-05-31,Sea,36,2025-07-06,Internal_Delay,744,No
PO000259,4,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00012,2025-05-04,2025-07-14,2025-05-28,2025-06-15,Truck,13,2025-06-28,Uncontrollable,743,No
PO000260,2,1003,1,Mainline,HBG,Crimson Stitch Co,MAT00059,2025-05-25,2025-08-16,2025-07-06,2025-07-12,Truck,13,2025-07-25,Transport_Disruption,1333,No
PO000261,1,2001,1,Mainline,HBG,Delta Footwear,MAT00093,2025-05-14,2025-08-01,2025-06-15,2025-06-15,Sea,40,2025-07-25,Transport_Disruption,692,No
PO000262,4,1002,1,Mainline,RTW,BlueOcean Textiles,MAT00049,2025-05-02,2025-07-06,2025-05-22,2025-05-22,Sea,42,2025-07-03,Transport_Disruption,1223,No
PO000263,4,2002,1,Mainline,APP,EverGreen Fabrics,MAT00055,2025-05-16,2025-07-30,2025-06-20,2025-07-01,Sea,49,2025-08-19,Factory_Delay,1146,Yes
PO000264,3,1003,1,Outlet,HBG,Crimson Stitch Co,MAT00008,2025-05-15,2025-07-03,2025-05-20,2025-05-25,Sea,35,2025-06-29,Material_Delay,1137,No
PO000265,2,3001,1,Mainline,SHO,Falcon Garments,MAT00050,2025-05-07,2025-08-02,2025-06-14,2025-06-23,Sea,39,2025-08-01,Material_Delay,633,No
PO000266,4,1003,1,Mainline,APP,Crimson Stitch Co,MAT00010,2025-05-28,2025-08-14,2025-06-28,2025-06-30,Sea,39,2025-08-08,Transport_Disruption,1159,No
PO000267,4,1002,1,Outlet,SHO,BlueOcean Textiles,MAT00031,2025-05-11,2025-07-25,2025-06-09,2025-06-14,Sea,46,2025-07-30,Material_Delay,1185,Yes
PO000268,4,3001,2,Mainline,SHO,Falcon Garments,MAT00057,2025-06-03,2025-07-11,2025-05-27,2025-06-06,Sea,37,2025-07-13,Transport_Disruption,1021,Yes
PO000269,1,1002,1,Mainline,RTW,BlueOcean Textiles,MAT00081,2025-06-01,2025-07-09,2025-05-27,2025-06-05,Truck,12,2025-06-17,Material_Delay,1284,No
PO000270,4,1001,2,Mainline,APP,Alpha Apparel Ltd,MAT00059,2025-05-25,2025-08-24,2025-07-12,2025-07-12,Air,8,2025-07-20,Factory_Delay,1463,No
PO000271,3,2002,1,Mainline,APP,EverGreen Fabrics,MAT00039,2025-05-08,2025-07-01,2025-05-22,2025-05-23,Sea,46,2025-07-08,Factory_Delay,1310,Yes
PO000272,6,1002,2,Mainline,HBG,BlueOcean Textiles,MAT00006,2025-05-14,2025-07-14,2025-05-27,2025-06-10,Truck,7,2025-06-17,Uncontrollable,876,No
PO000273,7,2002,2,Mainline,HBG,EverGreen Fabrics,MAT00041,2025-05-31,2025-09-22,2025-08-12,2025-08-30,Sea,44,2025-10-13,Material_Delay,325,Yes
PO000274,4,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00015,2025-05-13,2025-06-28,2025-05-16,2025-05-29,Air,8,2025-06-06,Material_Delay,1352,No
PO000275,6,1003,1,Outlet,RTW,Crimson Stitch Co,MAT00028,2025-05-25,2025-08-23,2025-07-10,2025-07-31,Air,5,2025-08-05,Material_Delay,287,No
PO000276,6,1002,1,Mainline,RTW,BlueOcean Textiles,MAT00055,2025-05-17,2025-07-25,2025-06-07,2025-06-07,Air,5,2025-06-12,Transport_Disruption,1437,No
PO000277,7,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00057,2025-05-09,2025-07-31,2025-06-11,2025-06-12,Sea,46,2025-07-28,Internal_Delay,1310,No
PO000278,6,1001,1,Mainline,APP,Alpha Apparel Ltd,MAT00065,2025-05-11,2025-07-22,2025-06-02,2025-06-13,Sea,39,2025-07-22,Factory_Delay,473,No
PO000279,7,3001,1,Mainline,RTW,Falcon Garments,MAT00064,2025-05-08,2025-07-25,2025-06-07,2025-06-11,Sea,42,2025-07-23,Material_Delay,920,No
PO000280,4,1003,1,Mainline,APP,Crimson Stitch Co,MAT00066,2025-05-04,2025-08-27,2025-07-17,2025-07-17,Sea,47,2025-09-02,Uncontrollable,357,Yes
PO000281,2,1001,2,Mainline,ACC,Alpha Apparel Ltd,MAT00058,2025-05-28,2025-06-27,2025-05-17,2025-05-24,Air,7,2025-05-31,Material_Delay,972,No
PO000282,1,2001,1,Mainline,RTW,Delta Footwear,MAT00025,2025-06-03,2025-09-07,2025-07-28,2025-07-30,Sea,43,2025-09-11,Factory_Delay,1355,Yes
PO000283,4,1002,1,Mainline,ACC,BlueOcean Textiles,MAT00058,2025-05-27,2025-09-13,2025-07-25,2025-08-05,Sea,36,2025-09-10,Factory_Delay,400,No
PO000284,2,2001,2,Mainline,HBG,Delta Footwear,MAT00089,2025-05-02,2025-06-30,2025-05-13,2025-05-16,Sea,35,2025-06-20,Material_Delay,677,No
PO000285,6,2002,2,Mainline,RTW,EverGreen Fabrics,MAT00015,2025-05-15,2025-07-29,2025-06-17,2025-06-25,Air,7,2025-07-02,Factory_Delay,1376,No
PO000286,7,2001,1,Mainline,ACC,Delta Footwear,MAT00086,2025-05-23,2025-08-24,2025-07-07,2025-07-10,Sea,38,2025-08-17,Material_Delay,1058,No
PO000287,7,1003,2,Mainline,RTW,Crimson Stitch Co,MAT00053,2025-05-29,2025-09-04,2025-07-24,2025-07-30,Sea,45,2025-09-13,Internal_Delay,157,Yes
PO000288,4,1002,2,Outlet,RTW,BlueOcean Textiles,MAT00054,2025-05-28,2025-09-07,2025-07-25,2025-08-15,Sea,49,2025-10-03,Uncontrollable,723,Yes
PO000289,7,2001,1,Mainline,RTW,Delta Footwear,MAT00001,2025-05-01,2025-08-01,2025-06-21,2025-07-03,Sea,47,2025-08-19,Material_Delay,1281,Yes
PO000290,6,1001,1,Mainline,HBG,Alpha Apparel Ltd,MAT00038,2025-05-17,2025-09-01,2025-07-18,2025-07-25,Sea,42,2025-09-05,Transport_Disruption,704,Yes
PO000291,6,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00035,2025-05-06,2025-08-12,2025-06-28,2025-07-15,Air,5,2025-07-20,Factory_Delay,439,No
PO000292,6,1003,1,Outlet,HBG,Crimson Stitch Co,MAT00014,2025-05-14,2025-06-25,2025-05-12,2025-05-13,Sea,37,2025-06-19,Material_Delay,624,No
PO000293,3,2001,1,Mainline,APP,Delta Footwear,MAT00100,2025-06-01,2025-08-17,2025-07-05,2025-07-20,Air,6,2025-07-26,Material_Delay,849,No
PO000294,4,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00079,2025-05-04,2025-07-12,2025-06-02,2025-06-09,Air,7,2025-06-16,Factory_Delay,478,No
PO000295,2,2001,1,Outlet,ACC,Delta Footwear,MAT00008,2025-05-24,2025-07-07,2025-05-28,2025-06-09,Sea,46,2025-07-25,Factory_Delay,420,Yes
PO000296,7,1002,1,Mainline,SHO,BlueOcean Textiles,MAT00102,2025-05-18,2025-08-24,2025-07-09,2025-07-16,Truck,13,2025-07-29,Material_Delay,502,No
PO000297,6,3001,2,Mainline,APP,Falcon Garments,MAT00004,2025-05-29,2025-07-20,2025-06-05,2025-06-12,Sea,39,2025-07-21,Factory_Delay,1275,Yes
PO000298,4,3001,1,Mainline,ACC,Falcon Garments,MAT00106,2025-05-11,2025-07-22,2025-06-02,2025-06-12,Sea,35,2025-07-17,Transport_Disruption,858,No
PO000299,3,2002,2,Outlet,ACC,EverGreen Fabrics,MAT00022,2025-05-01,2025-08-22,2025-07-08,2025-07-12,Sea,35,2025-08-16,Internal_Delay,162,No
PO000300,3,1001,1,Mainline,RTW,Alpha Apparel Ltd,MAT00047,2025-05-05,2025-07-20,2025-06-03,2025-06-10,Sea,46,2025-07-26,Material_Delay,1310,Yes
PO000301,7,1001,2,Outlet,SHO,Alpha Apparel Ltd,MAT00094,2025-05-25,2025-09-09,2025-07-23,2025-07-27,Sea,39,2025-09-04,Transport_Disruption,1287,No
PO000302,5,1001,1,Outlet,APP,Alpha Apparel Ltd,MAT00042,2025-05-18,2025-08-09,2025-06-30,2025-07-04,Sea,36,2025-08-09,Factory_Delay,532,No
